#,,,,,"generated_by='OpenQuake engine 3.11.0', start_date='2021-07-15T04:45:18', checksum=2366342461, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.01,PGA-0.004,PGA-0.002,PGA-0.00099
166.90000,-45.10000,3.930165E-01,6.838700E-01,9.763494E-01,1.342309E+00
166.90000,-45.00000,3.616209E-01,6.004996E-01,8.413228E-01,1.116674E+00
167.00000,-46.70000,1.221792E-01,1.805946E-01,2.364131E-01,3.027140E-01
167.00000,-46.60000,1.297780E-01,1.902856E-01,2.475227E-01,3.175396E-01
167.00000,-46.50000,1.369225E-01,1.992075E-01,2.575881E-01,3.306189E-01
167.00000,-46.40000,1.433621E-01,2.081653E-01,2.681463E-01,3.441131E-01
167.00000,-46.30000,1.500117E-01,2.177467E-01,2.813377E-01,3.617807E-01
167.00000,-46.20000,1.574745E-01,2.274513E-01,2.959231E-01,3.843233E-01
167.00000,-46.10000,1.659411E-01,2.364875E-01,3.034265E-01,3.851239E-01
167.00000,-46.00000,1.764954E-01,2.487279E-01,3.171611E-01,3.985929E-01
167.00000,-45.90000,1.899646E-01,2.661548E-01,3.398525E-01,4.263441E-01
167.00000,-45.80000,2.064845E-01,2.884623E-01,3.676205E-01,4.643137E-01
167.00000,-45.70000,2.246263E-01,3.147768E-01,4.013500E-01,5.108492E-01
167.00000,-45.60000,2.437041E-01,3.451450E-01,4.422497E-01,5.672845E-01
167.00000,-45.50000,2.645766E-01,3.788833E-01,4.920783E-01,6.377096E-01
167.00000,-45.40000,2.847619E-01,4.121711E-01,5.404297E-01,7.030510E-01
167.00000,-45.30000,3.049963E-01,4.466310E-01,5.874659E-01,7.655082E-01
167.00000,-45.20000,3.290621E-01,4.982488E-01,6.628712E-01,8.728315E-01
167.00000,-45.10000,3.699705E-01,6.155489E-01,8.618331E-01,1.139964E+00
167.00000,-45.00000,3.739670E-01,6.498505E-01,9.368839E-01,1.305442E+00
167.00000,-44.90000,3.006614E-01,4.536105E-01,6.053051E-01,7.978430E-01
167.10000,-47.30000,6.245925E-02,9.743681E-02,1.332030E-01,1.774407E-01
167.10000,-47.20000,7.228813E-02,1.125319E-01,1.526946E-01,2.027055E-01
167.10000,-46.70000,1.147272E-01,1.700200E-01,2.237936E-01,2.855645E-01
167.10000,-46.60000,1.220065E-01,1.793070E-01,2.343697E-01,2.997111E-01
167.10000,-46.50000,1.289545E-01,1.879128E-01,2.441137E-01,3.126085E-01
167.10000,-46.40000,1.359728E-01,1.965909E-01,2.540140E-01,3.256001E-01
167.10000,-46.30000,1.429481E-01,2.060431E-01,2.655012E-01,3.412725E-01
167.10000,-46.20000,1.507469E-01,2.171866E-01,2.811095E-01,3.632792E-01
167.10000,-46.10000,1.598926E-01,2.285472E-01,2.947742E-01,3.786369E-01
167.10000,-46.00000,1.709274E-01,2.415383E-01,3.084024E-01,3.891830E-01
167.10000,-45.90000,1.842578E-01,2.582657E-01,3.292144E-01,4.129835E-01
167.10000,-45.80000,2.000083E-01,2.791230E-01,3.554943E-01,4.473491E-01
167.10000,-45.70000,2.178868E-01,3.036894E-01,3.867343E-01,4.904508E-01
167.10000,-45.60000,2.355074E-01,3.312607E-01,4.229674E-01,5.408059E-01
167.10000,-45.50000,2.531303E-01,3.580883E-01,4.595634E-01,5.898282E-01
167.10000,-45.40000,2.698834E-01,3.830546E-01,4.929730E-01,6.308869E-01
167.10000,-45.30000,2.859510E-01,4.077858E-01,5.269538E-01,6.699749E-01
167.10000,-45.20000,3.046836E-01,4.438320E-01,5.789455E-01,7.426112E-01
167.10000,-45.10000,3.389344E-01,5.440903E-01,7.481122E-01,9.925373E-01
167.10000,-45.00000,3.464667E-01,5.896154E-01,8.530518E-01,1.161365E+00
167.10000,-44.90000,3.012280E-01,4.622144E-01,6.230522E-01,8.296239E-01
167.10000,-44.80000,2.642772E-01,3.815585E-01,4.935880E-01,6.273597E-01
167.20000,-47.30000,5.905304E-02,9.156377E-02,1.243097E-01,1.658987E-01
167.20000,-47.20000,6.772180E-02,1.049427E-01,1.427788E-01,1.886612E-01
167.20000,-47.10000,7.632329E-02,1.171433E-01,1.572506E-01,2.075714E-01
167.20000,-46.40000,1.284196E-01,1.857722E-01,2.408763E-01,3.079984E-01
167.20000,-46.30000,1.358989E-01,1.949923E-01,2.515424E-01,3.221074E-01
167.20000,-46.20000,1.440141E-01,2.060968E-01,2.654732E-01,3.415077E-01
167.20000,-46.10000,1.537349E-01,2.201762E-01,2.857457E-01,3.714703E-01
167.20000,-46.00000,1.652249E-01,2.348364E-01,3.020787E-01,3.859448E-01
167.20000,-45.90000,1.782381E-01,2.504980E-01,3.195271E-01,4.020432E-01
167.20000,-45.80000,1.932143E-01,2.697276E-01,3.437383E-01,4.313757E-01
167.20000,-45.70000,2.100854E-01,2.924353E-01,3.721523E-01,4.703987E-01
167.20000,-45.60000,2.268870E-01,3.167666E-01,4.032095E-01,5.128365E-01
167.20000,-45.50000,2.423767E-01,3.398674E-01,4.316705E-01,5.493278E-01
167.20000,-45.40000,2.568312E-01,3.599905E-01,4.568063E-01,5.784935E-01
167.20000,-45.30000,2.705230E-01,3.798964E-01,4.826892E-01,6.078742E-01
167.20000,-45.20000,2.864455E-01,4.088952E-01,5.283331E-01,6.677127E-01
167.20000,-45.10000,3.049602E-01,4.532079E-01,5.997983E-01,7.838592E-01
167.20000,-45.00000,3.112689E-01,4.877343E-01,6.686596E-01,8.976300E-01
167.20000,-44.90000,2.944033E-01,4.653258E-01,6.542209E-01,9.002973E-01
167.20000,-44.80000,2.672572E-01,3.937421E-01,5.221710E-01,6.728203E-01
167.20000,-44.70000,2.444542E-01,3.488693E-01,4.426090E-01,5.595090E-01
167.30000,-47.40000,4.808564E-02,7.299262E-02,9.795591E-02,1.296111E-01
167.30000,-47.30000,5.575461E-02,8.576059E-02,1.159314E-01,1.549824E-01
167.30000,-47.20000,6.349189E-02,9.787903E-02,1.328068E-01,1.755462E-01
167.30000,-47.10000,7.122193E-02,1.090198E-01,1.469233E-01,1.932629E-01
167.30000,-47.00000,7.903370E-02,1.200320E-01,1.601872E-01,2.110902E-01
167.30000,-46.40000,1.213390E-01,1.756477E-01,2.284943E-01,2.914442E-01
167.30000,-46.30000,1.286795E-01,1.845374E-01,2.384934E-01,3.043461E-01
167.30000,-46.20000,1.373854E-01,1.955262E-01,2.514897E-01,3.216014E-01
167.30000,-46.10000,1.473186E-01,2.103247E-01,2.720497E-01,3.517151E-01
167.30000,-46.00000,1.590966E-01,2.274467E-01,2.963683E-01,3.877554E-01
167.30000,-45.90000,1.718290E-01,2.425945E-01,3.107134E-01,3.945101E-01
167.30000,-45.80000,1.860215E-01,2.601031E-01,3.315225E-01,4.165718E-01
167.30000,-45.70000,2.016946E-01,2.805990E-01,3.568709E-01,4.491648E-01
167.30000,-45.60000,2.179765E-01,3.020898E-01,3.832678E-01,4.840190E-01
167.30000,-45.50000,2.321220E-01,3.222854E-01,4.071012E-01,5.139521E-01
167.30000,-45.40000,2.451337E-01,3.409470E-01,4.280690E-01,5.386652E-01
167.30000,-45.30000,2.578570E-01,3.591247E-01,4.514722E-01,5.659009E-01
167.30000,-45.20000,2.705453E-01,3.805223E-01,4.840221E-01,6.095794E-01
167.30000,-45.10000,2.790421E-01,3.970552E-01,5.110353E-01,6.469619E-01
167.30000,-45.00000,2.813691E-01,4.063178E-01,5.298914E-01,6.709943E-01
167.30000,-44.90000,2.818489E-01,4.339555E-01,6.013672E-01,8.276094E-01
167.30000,-44.80000,2.682285E-01,4.063330E-01,5.552261E-01,7.413043E-01
167.30000,-44.70000,2.486423E-01,3.596635E-01,4.635489E-01,5.879959E-01
167.40000,-47.40000,4.576169E-02,6.913593E-02,9.274420E-02,1.221815E-01
167.40000,-47.30000,5.253892E-02,8.031372E-02,1.084854E-01,1.453456E-01
