#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.11.0', start_date='2021-07-15T04:45:18', checksum=2366342461, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0015656,poe-0.0024511,poe-0.0038375,poe-0.0060080,poe-0.0094062,poe-0.0147264,poe-0.0230557,poe-0.0360962,poe-0.0565124,poe-0.0884762,poe-0.1385189,poe-0.2168661,poe-0.3395269,poe-0.5315656,poe-0.8322225,poe-1.3029331,poe-2.0398806,poe-3.1936504,poe-5.0000000
166.39999,-45.50000,0.00000,8.882501E-01,8.690543E-01,8.412930E-01,8.012238E-01,7.437524E-01,6.627620E-01,5.539883E-01,4.218155E-01,2.847213E-01,1.681620E-01,8.771731E-02,4.202174E-02,1.986337E-02,9.803509E-03,4.822121E-03,2.104547E-03,7.489111E-04,2.071288E-04,4.249440E-05,4.985389E-06
166.50000,-46.30000,0.00000,8.584251E-01,8.282203E-01,7.864786E-01,7.283661E-01,6.482465E-01,5.433363E-01,4.192652E-01,2.918587E-01,1.806122E-01,9.847434E-02,4.694523E-02,1.940195E-02,6.945009E-03,2.168844E-03,5.867286E-04,1.339103E-04,2.364239E-05,2.316750E-06,0.000000E+00,0.000000E+00
166.50000,-46.20000,0.00000,8.649176E-01,8.373892E-01,7.991302E-01,7.452577E-01,6.695948E-01,5.678939E-01,4.437814E-01,3.122810E-01,1.944529E-01,1.060282E-01,5.029316E-02,2.061900E-02,7.327215E-03,2.302812E-03,6.477208E-04,1.601765E-04,3.229482E-05,3.587151E-06,5.030371E-08,0.000000E+00
166.50000,-46.10000,0.00000,8.705654E-01,8.453578E-01,8.101158E-01,7.599797E-01,6.884682E-01,5.902228E-01,4.669689E-01,3.324848E-01,2.088159E-01,1.142793E-01,5.418550E-02,2.217116E-02,7.884460E-03,2.514394E-03,7.369167E-04,1.958847E-04,4.336792E-05,5.680727E-06,2.038074E-07,0.000000E+00
166.50000,-46.00000,0.00000,8.754788E-01,8.522237E-01,8.195079E-01,7.725745E-01,7.048669E-01,6.102766E-01,4.888076E-01,3.525930E-01,2.240073E-01,1.236289E-01,5.894458E-02,2.421777E-02,8.651434E-03,2.794669E-03,8.484386E-04,2.403086E-04,5.790251E-05,9.247287E-06,4.579304E-07,0.000000E+00
166.50000,-45.90000,0.00000,8.797015E-01,8.580430E-01,8.273722E-01,7.831054E-01,7.188156E-01,6.279891E-01,5.091485E-01,3.724874E-01,2.400436E-01,1.342887E-01,6.494115E-02,2.715087E-02,9.896001E-03,3.263314E-03,1.016134E-03,2.993893E-04,7.680109E-05,1.416490E-05,9.415031E-07,0.000000E+00
166.50000,-45.80000,0.00000,8.832813E-01,8.628770E-01,8.337884E-01,7.916594E-01,7.303587E-01,6.432652E-01,5.276934E-01,3.917493E-01,2.565207E-01,1.459543E-01,7.199935E-02,3.090526E-02,1.162898E-02,3.953194E-03,1.259547E-03,3.801587E-04,1.023416E-04,2.089468E-05,1.697497E-06,0.000000E+00
166.50000,-45.70000,0.00000,8.862843E-01,8.668026E-01,8.388533E-01,7.983443E-01,7.395537E-01,6.559795E-01,5.440003E-01,4.096599E-01,2.726542E-01,1.579799E-01,7.981040E-02,3.558514E-02,1.418243E-02,5.146036E-03,1.725298E-03,5.327803E-04,1.469901E-04,3.180906E-05,3.573465E-06,0.000000E+00
166.50000,-45.60000,0.00000,8.886949E-01,8.698407E-01,8.426368E-01,8.032629E-01,7.464581E-01,6.659829E-01,5.575309E-01,4.252789E-01,2.873380E-01,1.693173E-01,8.749785E-02,4.071468E-02,1.763213E-02,7.185731E-03,2.686770E-03,8.945791E-04,2.571661E-04,6.170152E-05,9.894324E-06,2.771282E-07
166.50000,-45.50000,0.00000,8.905478E-01,8.720443E-01,8.452243E-01,8.065207E-01,7.511253E-01,6.731143E-01,5.677051E-01,4.375471E-01,2.992790E-01,1.787521E-01,9.388746E-02,4.498466E-02,2.102711E-02,1.002907E-02,4.612245E-03,1.842274E-03,5.939393E-04,1.484688E-04,2.761899E-05,2.256949E-06
166.50000,-45.40000,0.00000,8.918796E-01,8.734626E-01,8.466898E-01,8.082058E-01,7.535903E-01,6.772087E-01,5.739674E-01,4.454320E-01,3.071568E-01,1.850610E-01,9.814165E-02,4.767052E-02,2.310494E-02,1.211381E-02,6.484625E-03,3.052677E-03,1.142092E-03,3.276005E-04,7.055055E-05,1.045026E-05
166.60001,-46.60000,0.00000,8.359351E-01,7.958359E-01,7.411380E-01,6.674294E-01,5.717209E-01,4.570331E-01,3.352020E-01,2.229740E-01,1.336581E-01,7.175048E-02,3.410926E-02,1.416115E-02,5.081265E-03,1.548084E-03,3.840113E-04,7.206486E-05,8.282563E-06,3.523385E-07,0.000000E+00,0.000000E+00
166.60001,-46.30000,0.00000,8.607343E-01,8.308971E-01,7.894341E-01,7.313972E-01,6.509331E-01,5.449578E-01,4.190396E-01,2.895966E-01,1.770955E-01,9.497818E-02,4.439840E-02,1.800395E-02,6.352680E-03,1.956525E-03,5.143236E-04,1.095178E-04,1.651292E-05,1.333229E-06,0.000000E+00,0.000000E+00
166.60001,-46.20000,0.00000,8.671653E-01,8.400381E-01,8.021076E-01,7.484028E-01,6.726024E-01,5.702180E-01,4.447063E-01,3.113987E-01,1.921597E-01,1.033496E-01,4.815998E-02,1.936854E-02,6.755441E-03,2.069785E-03,5.556722E-04,1.265792E-04,2.239545E-05,2.194823E-06,0.000000E+00,0.000000E+00
166.60001,-46.10000,0.00000,8.727962E-01,8.480068E-01,8.131258E-01,7.632425E-01,6.918126E-01,5.933151E-01,4.692223E-01,3.332971E-01,2.081188E-01,1.127077E-01,5.259333E-02,2.107532E-02,7.312203E-03,2.255523E-03,6.282648E-04,1.546304E-04,3.092924E-05,3.401345E-06,3.283308E-08,0.000000E+00
